observation_id,batch_id,date,province,season,chain_node,cultivar,hot_water_treated,hwt_temp_c,hwt_duration_min,dwell_time_hrs,starting_wt_kg,ending_wt_kg,loss_physiological_pct,loss_pathological_pct,ambient_temp_c,ambient_rh_pct,price_php_per_kg
2001,MB2024-001,2024-03-06,Pangasinan,Dry,packinghouse,Carabao,Yes,54.6,6,27.8,264.7,254.9,2.67,1.02,28.2,68.0,83.55
2002,MB2024-001,2024-03-07,Pangasinan,Dry,transport,Carabao,Yes,54.6,6,23.5,254.9,245.9,2.21,1.31,31.0,69.7,83.31
2003,MB2024-002,2024-12-24,Pangasinan,Dry,packinghouse,Carabao,No,,,20.8,455.4,433.8,2.76,1.99,32.9,73.8,84.46
2004,MB2024-002,2024-12-25,Pangasinan,Dry,transport,Carabao,No,,,14.4,433.8,402.0,4.35,2.97,32.2,80.7,86.43
2005,MB2024-003,2024-04-08,pangasinan,Dry,packinghouse,Carabao,Yes,52.5,8,29.7,360.2,348.9,2.81,0.34,32.7,84.4,75.94
2006,MB2024-003,2024-04-09,Pangasinan,Dry,transport,Carabao,Yes,52.5,8,23.0,348.9,335.6,3.47,0.33,31.8,82.4,78.01
2007,MB2024-004,2024-01-21,Pangasinan,Dry,packinghouse,Carabao,No,,,27.7,214.6,200.2,4.23,2.48,31.5,74.9,78.22
2008,MB2024-004,2024-01-22,Pangasinan,Dry,transport,Carabao,No,,,27.3,200.2,184.7,4.04,3.71,30.3,71.5,80.45
2009,MB2024-005,2024-09-13,Pangasinan,Wet,packinghouse,Carabao,Yes,53.6,10,15.0,231.3,217.7,2.6,3.29,30.1,87.5,134.02
2010,MB2024-005,2024-09-14,Pangasinan,Wet,transport,Carabao,Yes,53.6,10,14.7,217.7,201.3,3.31,4.22,27.5,80.8,133.7
2011,MB2024-006,2024-10-17,Pangasinan,Wet,packinghouse,Carabao,No,,,9.4,237.8,216.0,3.84,5.32,32.6,86.7,145.27
2012,MB2024-006,2024-10-18,Pangasinan,Wet,transport,Carabao,No,,,9.2,216.0,198.2,3.75,4.5,32.7,74.1,143.96
2013,MB2024-007,2024-08-07,Pangasinan,Wet,packinghouse,Carabao,Yes,52.3,7,9.7,252.0,238.3,1.9,3.52,33.5,77.9,145.41
2014,MB2024-007,2024-08-08,Pangasinan,Wet,transport,Carabao,Yes,52.3,7,20.6,238.3,224.1,3.09,2.87,30.3,,147.03
2015,MB2024-008,2024-07-08,Pangasinan,Wet,packinghouse,Carabao,No,,,10.8,317.7,288.6,3.41,5.74,31.1,82.2,131.36
2016,MB2024-008,2024-07-09,Pangasinan ,Wet,transport,Carabao,No,,,15.6,288.6,268.5,3.62,3.33,31.2,75.1,129.89
2017,MB2024-009,2024-01-09,Zamboanga del Norte,Dry,packinghouse,Carabao,Yes,53.7,10,28.9,301.2,290.6,2.64,0.89,33.1,80.8,84.6
2018,MB2024-009,2024-01-10,Zamboanga del Norte,Dry,transport,Carabao,Yes,53.7,10,27.3,290.6,280.9,1.86,1.49,29.1,74.4,84.68
2019,MB2024-010,2024-12-07,Zamboanga del Norte,Dry,packinghouse,Carabao,No,,,12.3,322.3,302.6,3.92,2.2,30.0,84.7,87.3
2020,MB2024-010,2024-12-08,Zamboanga del Norte,Dry,transport,Carabao,No,,,26.3,302.6,285.6,3.64,1.97,33.1,87.8,86.03
2021,MB2024-011,2024-03-07,Zamboanga del Norte,Dry,packinghouse,Carabao,Yes,53.0,6,9.4,411.3,448.3,3.59,1.72,30.4,73.4,73.71
